frame,throttle,steer,brake
0,0.0,0.0,0.0
1,0.75,1.0,0.0
2,0.75,1.0,0.0
3,0.75,1.0,0.0
4,0.75,1.0,0.0
5,0.75,1.0,0.0
6,0.75,1.0,0.0
7,0.75,1.0,0.0
8,0.75,1.0,0.0
9,0.75,1.0,0.0
10,0.75,1.0,0.0
11,0.75,1.0,0.0
12,0.10988369584083557,1.0,0.0
13,0.0,1.0,1.0
14,0.0,1.0,1.0
15,0.0,1.0,1.0
16,0.0,1.0,1.0
17,0.0,1.0,1.0
18,0.0,1.0,1.0
19,0.0,1.0,1.0
20,0.0,1.0,1.0
21,0.0,1.0,1.0
22,0.0,1.0,1.0
23,0.0,1.0,1.0
24,0.0,1.0,1.0
25,0.0,1.0,1.0
26,0.0,1.0,1.0
27,0.0,1.0,1.0
28,0.0,1.0,1.0
29,0.0,1.0,1.0
30,0.0,1.0,1.0
31,0.0,1.0,1.0
32,0.0,1.0,1.0
33,0.0,1.0,1.0
34,0.0,1.0,1.0
35,0.0,1.0,1.0
36,0.0,1.0,1.0
37,0.0,1.0,1.0
38,0.0,1.0,1.0
39,0.0,1.0,1.0
40,0.0,1.0,1.0
41,0.0,1.0,1.0
42,0.0,1.0,1.0
43,0.0,1.0,1.0
44,0.0,1.0,1.0
45,0.0,1.0,1.0
46,0.0,1.0,1.0
47,0.0,1.0,1.0
48,0.0,1.0,1.0
49,0.0,1.0,1.0
50,0.0,1.0,1.0
51,0.0,1.0,1.0
52,0.0,1.0,1.0
53,0.0,1.0,1.0
54,0.0,1.0,1.0
55,0.0,1.0,1.0
56,0.0,1.0,1.0
57,0.0,1.0,1.0
58,0.0,1.0,1.0
59,0.0,1.0,1.0
60,0.0,1.0,1.0
61,0.0,1.0,1.0
62,0.0,1.0,1.0
63,0.0,1.0,1.0
64,0.0,1.0,1.0
65,0.0,1.0,1.0
66,0.0,1.0,1.0
67,0.0,1.0,1.0
68,0.0,1.0,1.0
69,0.0,1.0,1.0
70,0.0,1.0,1.0
71,0.0,1.0,1.0
72,0.0,1.0,1.0
73,0.0,1.0,1.0
74,0.0,1.0,1.0
75,0.0,0.07218515127897263,1.0
76,0.0,0.8221123814582825,1.0
77,0.0,1.0,1.0
78,0.0,1.0,1.0
79,0.0,1.0,1.0
80,0.0,1.0,1.0
81,0.0,1.0,1.0
82,0.0,0.3046374022960663,1.0
83,0.0,1.0,1.0
84,0.0,0.853088915348053,1.0
85,0.0,0.9671337604522705,1.0
86,0.0,0.8021848797798157,1.0
87,0.0,1.0,1.0
88,0.0,0.5158417224884033,1.0
89,0.0,-0.23706157505512238,1.0
90,0.0,1.0,1.0
91,0.0,1.0,1.0
92,0.0,1.0,1.0
93,0.0,-1.0,1.0
94,0.0,1.0,1.0
95,0.75,1.0,0.0
96,0.75,1.0,0.0
97,0.75,1.0,0.0
98,0.75,1.0,0.0
99,0.75,1.0,0.0
100,0.75,1.0,0.0
101,0.75,1.0,0.0
102,0.75,1.0,0.0
103,0.75,1.0,0.0
104,0.75,1.0,0.0
105,0.75,1.0,0.0
106,0.75,1.0,0.0
107,0.75,1.0,0.0
108,0.75,1.0,0.0
109,0.75,1.0,0.0
110,0.75,1.0,0.0
111,0.75,1.0,0.0
112,0.75,1.0,0.0
113,0.43393731117248535,1.0,0.0
114,0.0,1.0,1.0
115,0.0,1.0,1.0
116,0.0,1.0,1.0
117,0.0,1.0,1.0
118,0.0,1.0,1.0
119,0.0,1.0,1.0
120,0.0,1.0,1.0
121,0.0,0.1340104043483734,1.0
122,0.0,1.0,1.0
123,0.0,1.0,1.0
124,0.0,1.0,1.0
125,0.0,1.0,1.0
126,0.0,1.0,1.0
127,0.0,1.0,1.0
128,0.0,1.0,1.0
129,0.0,1.0,1.0
130,0.0,0.9601183533668518,1.0
131,0.0,1.0,1.0
132,0.0,0.6405766010284424,1.0
133,0.0,1.0,1.0
134,0.0,0.9827234745025635,1.0
135,0.0,0.9012709856033325,1.0
136,0.0,0.8768986463546753,1.0
137,0.0,0.5508686900138855,1.0
138,0.0,1.0,1.0
139,0.0,-0.467911034822464,1.0
140,0.0,-0.3013601303100586,1.0
141,0.0,0.595239520072937,1.0
142,0.0,0.03898223116993904,1.0
143,0.0,0.16073134541511536,1.0
144,0.0,1.0,1.0
145,0.0,-0.3592491149902344,1.0
146,0.0,0.25253868103027344,1.0
147,0.0,0.005442492663860321,1.0
148,0.0,0.23319610953330994,1.0
149,0.0,0.2178112417459488,1.0
150,0.0,0.10760851204395294,1.0
151,0.0,0.07714980840682983,1.0
152,0.0,-0.03647331893444061,1.0
153,0.0,-0.14190606772899628,1.0
154,0.0,-0.10688791424036026,1.0
155,0.0,-0.34271496534347534,1.0
156,0.0,-0.37491318583488464,1.0
157,0.0,-0.3431493043899536,1.0
158,0.0,-0.4074219763278961,1.0
159,0.0,-0.8837214708328247,1.0
160,0.0,-0.699739396572113,1.0
161,0.0,-0.5353406071662903,1.0
162,0.0,-0.5738372802734375,1.0
163,0.0,-0.6386692523956299,1.0
164,0.0,-0.45728057622909546,1.0
165,0.0,-0.5723108649253845,1.0
166,0.0,-0.608315110206604,1.0
167,0.0,-0.5228080153465271,1.0
168,0.0,-0.7768522500991821,1.0
169,0.0,-0.44788873195648193,1.0
170,0.0,-0.8263504505157471,1.0
171,0.0,-0.4588751196861267,1.0
172,0.0,-0.4128490388393402,1.0
173,0.0,-0.5580608248710632,1.0
174,0.0,-0.45149824023246765,1.0
175,0.0,-0.5034558773040771,1.0
176,0.0,-0.4276641011238098,1.0
177,0.0,-0.40503183007240295,1.0
178,0.0,-0.5466310977935791,1.0
179,0.0,-0.4773700535297394,1.0
180,0.0,-0.474212110042572,1.0
181,0.0,-0.47359538078308105,1.0
182,0.0,-0.47339412569999695,1.0
183,0.0,-0.4232463240623474,1.0
184,0.0,-0.5496094822883606,1.0
185,0.0,-0.5029621720314026,1.0
186,0.0,-0.5401392579078674,1.0
187,0.0,-0.5572746992111206,1.0
188,0.0,-0.4977017939090729,1.0
189,0.0,-0.5181998610496521,1.0
190,0.0,-0.45737960934638977,1.0
191,0.0,-0.47269895672798157,1.0
192,0.0,-0.5239841341972351,1.0
193,0.0,-0.36805832386016846,1.0
194,0.0,-0.5651575326919556,1.0
195,0.0,-0.5394312143325806,1.0
196,0.0,-0.543199360370636,1.0
197,0.0,-0.4874325096607208,1.0
198,0.0,-0.4897460639476776,1.0
199,0.0,-0.39446550607681274,1.0
200,0.0,-0.36945319175720215,1.0
201,0.0,-0.40171489119529724,1.0
202,0.0,-0.35641810297966003,1.0
203,0.0,-0.3587455153465271,1.0
204,0.0,-0.2856559455394745,1.0
205,0.0,-0.24040445685386658,1.0
206,0.0,-0.2651715874671936,1.0
207,0.0,-0.25183025002479553,1.0
208,0.0,-0.2295641005039215,1.0
209,0.0,-0.21087901294231415,1.0
210,0.0,-0.16681842505931854,1.0
211,0.0,-0.16276921331882477,1.0
212,0.0,-0.1545359343290329,1.0
213,0.0,-0.15451312065124512,1.0
214,0.0,-0.14117789268493652,1.0
215,0.0,-0.14068029820919037,1.0
216,0.0,-0.14373932778835297,1.0
217,0.0,-0.13037657737731934,1.0
218,0.0,-0.1223621517419815,1.0
219,0.0,-0.12065970152616501,1.0
